Study,D1,D2,D3,D4,D5,Overall,Weight
Benjamin et al.,Low,Some Concerns,Low,Some Concerns,Low,Some Concerns,0.2
Casellas et al.,Low,Low,Low,Some Concerns,Low,Low,0.18
Fernandez-Banares et al.,Low,Low,Low,Low,Low,Low,0.15
Faghfoori et al.,Low,Some Concerns,Low,Low,Some Concerns,Some Concerns,0.17
James et al.,Low,Some Concerns,Low,Low,Low,Some Concerns,0.25
Hallert et al.,Low,Low,Low,Low,Low,Low,0.22
Federico et al.,Low,Some Concerns,Low,Low,Low,Some Concerns,0.3
Furrie et al.,Low,Low,Low,Low,Low,Low,0.1
Chermesh et al.,Low,High,Low,Some Concerns,Some Concerns,High,0.08
Welters et al.,Low,Low,Low,Low,Low,Low,0.28
Valcheva et al.,Low,Low,Low,Low,Low,Low,0.29
